Offset(P)            #Ptr   #Hnd Access Name
0x000000003d83bc20      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ActionCenter.dll
0x000000003d83e0f0      1      1 R--r-- \Device\HarddiskVolume2\Windows\Fonts\timesi.ttf
0x000000003d83e1a8      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\vsstrace.dll.mui
0x000000003d83e5d8      9      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000003d83fc80      1      1 R--r-- \Device\HarddiskVolume2\Windows\Registration\R00000000000c.clb
0x000000003d841670      9      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d8419a0      4      4 R--r-- \Device\HarddiskVolume2\Windows\Fonts\simsun.ttc
0x000000003d8431c0     10      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.000
0x000000003d8441c8      2      2 R--r-- \Device\HarddiskVolume2\Windows\Fonts\tahoma.ttf
0x000000003d8444d8     11      1 RWD--- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\tmp.edb
0x000000003d844620      1      1 RW---- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000003d8454b8      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SyncCenter.dll
0x000000003d845d58      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\txflog.dll
0x000000003d849360      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003d84a400      1      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010009.dir
0x000000003d84af80      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\setupapi.dll
0x000000003d84b6c8      9      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d84b9b0      1      0 RW-rwd \Device\HarddiskVolume2\$NonCachedIo
0x000000003d84bea8      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk
0x000000003d84cd60      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\filemgmt.dll
0x000000003d84d758      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuaueng.dll
0x000000003d84eb28      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wucltux.dll
0x000000003d84ec98     15      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d84f158      6      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\icudtl.dat
0x000000003d84f2b8      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml3r.dll
0x000000003d84f4e0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\spool\drivers\w32x86\3\en-US\PS5UI.DLL.mui
0x000000003d84fcc8      5      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\natives_blob.bin
0x000000003d850908      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DWrite.dll
0x000000003d850b60      7      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\snapshot_blob.bin
0x000000003d8517e8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mfplat.dll
0x000000003d851e18      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk
0x000000003d852468      2      1 ------ \Device\NamedPipe\mojo.1616.1792.15664824006675030886
0x000000003d852ca0      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Windows Easy Transfer.lnk
0x000000003d852d58      8      0 RW-rw- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\History
0x000000003d8588f0      8      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wscui.cpl.mui
0x000000003d85d308      1      0 R--rwd \Device\HarddiskVolume2\Users\IEUser\Favorites\desktop.ini
0x000000003d85d3c0      6      0 R--rwd \Device\HarddiskVolume2\Windows\System32\KernelBase.dll
0x000000003d85d478      5      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\chrome_100_percent.pak
0x000000003d85e7a8      8      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\resources.pak
0x000000003d85e9c8     10      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d85ebf0      8      0 RW-rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000003d85eca8      1      1 ------ \Device\NamedPipe\srvsvc
0x000000003d85f3f0      4      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\chrome_200_percent.pak
0x000000003d85fdb8      6      0 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\Locales\en-US.pak
0x000000003d860e48      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\wkscli.dll
0x000000003d861230      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Security Configuration Management.lnk
0x000000003d861cf8      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Tablet PC\Windows Journal.lnk
0x000000003d863498      4      0 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\ShaderCache\GPUCache\data_0
0x000000003d864470      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AudioSes.dll
0x000000003d865310      3      0 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\ShaderCache\GPUCache\data_1
0x000000003d8659b0      8      0 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\ShaderCache\GPUCache\data_1
0x000000003d865b08      8      0 R--rwd \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll
0x000000003d865dd0      1      1 R--r-- \Device\HarddiskVolume2\Windows\Fonts\calibriz.ttf
0x000000003d866f40      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99\resources.pak
0x000000003d8670d0      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x000000003d867188      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.ci
0x000000003d867850      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.dir
0x000000003d8679d8      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.ci
0x000000003d867a90      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.dir
0x000000003d867b48      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.ci
0x000000003d867eb8      5      2 R--r-- \Device\HarddiskVolume2\Windows\Fonts\palab.ttf
0x000000003d868358      4      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x000000003d8684d0      8      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.wid
0x000000003d868a18      2      1 ------ \Device\NamedPipe\MsFteWds
